datetime,actual,xgboost,arima,ensemble_70_30
2025-05-16 06:00:00,39105.7435483564,39036.195,39129.98675970482,39064.331965411446
2025-05-16 07:00:00,39058.007845637,39030.285,39128.46845232602,39059.73975444781
2025-05-16 08:00:00,38996.7440718926,39027.652,39129.98538114818,39058.35108309446
2025-05-16 09:00:00,39031.195539833505,39033.44,39128.469829631,39061.9491520143
2025-05-16 10:00:00,39311.1638381702,39032.83,39129.98400509374,39061.97371715312
2025-05-16 11:00:00,38953.8096407962,39039.758,39128.47120443605,39066.37143945581
2025-05-16 12:00:00,38958.0943762611,39036.906,39129.982631536965,39064.82877383609
2025-05-16 13:00:00,39067.0360421745,39042.95,39128.472576745706,39068.60622614871
2025-05-16 14:00:00,39061.8498477121,39042.43,39129.98126047331,39068.69555001699
2025-05-16 15:00:00,39001.392287032,39041.496,39128.473946564496,39067.589058969344
2025-05-16 16:00:00,38903.5409954419,39037.066,39129.979891898256,39064.93928006948
2025-05-16 17:00:00,38918.6390084989,39033.344,39128.47531389694,39061.88243791908
2025-05-16 18:00:00,39085.7526100975,39043.89,39129.97852580728,39069.716213992186
2025-05-16 19:00:00,39171.919831875,39040.867,39128.47667874755,39067.15042549926
2025-05-16 20:00:00,38810.7776425707,39043.848,39129.977162195886,39069.68650803377
2025-05-16 21:00:00,39016.2245352242,39046.87,39128.47804112085,39071.35200608625
2025-05-16 22:00:00,39126.6163194303,39051.1,39129.97580105956,39074.764224692866
2025-05-16 23:00:00,39040.4080283054,39052.547,39128.479401021315,39075.3270234314
2025-05-17 00:00:00,39130.7250434065,39047.2,39129.974442393825,39072.031395218146
2025-05-17 01:00:00,39130.7044324473,39041.684,39128.48075845344,39067.72196191103
2025-05-17 02:00:00,39057.8714055257,39037.023,39129.973086194186,39064.90794148325
2025-05-17 03:00:00,39187.4180387445,39038.977,39128.48211342171,39065.82783715151
2025-05-17 04:00:00,39099.3496987087,39033.33,39129.97173245617,39062.321597861854
2025-05-17 05:00:00,39066.9186179615,39037.23,39128.4834659306,39064.60558665418
2025-05-17 06:00:00,38958.9648494694,39040.766,39129.970381175306,39067.52627060259
2025-05-17 07:00:00,39022.0348422912,39034.18,39128.48481598456,39062.47122604537
2025-05-17 08:00:00,39201.4557663613,39032.82,39129.96903234714,39061.96531907914
2025-05-17 09:00:00,39137.6191318523,39037.28,39128.48616358805,39064.641552201414
2025-05-17 10:00:00,39176.9665070652,39035.977,39129.96768596721,39064.17389954016
2025-05-17 11:00:00,38975.5828722209,39040.19,39128.48750874553,39066.67906512366
2025-05-17 12:00:00,39076.9779033919,39037.59,39129.96634203108,39065.302402609326
2025-05-17 13:00:00,39089.2987630747,39039.797,39128.48885146142,39066.404077313426
2025-05-17 14:00:00,38952.4912051728,39041.13,39129.965000534314,39067.77856266029
2025-05-17 15:00:00,39038.2911746103,39039.61,39128.490191740166,39066.27362002205
2025-05-17 16:00:00,38910.3845135262,39034.906,39129.96366147248,39063.42269219174
2025-05-17 17:00:00,39141.9717198153,39034.867,39128.491529586194,39062.95370887586
2025-05-17 18:00:00,39118.8174292943,39043.74,39129.962324841166,39069.60588495235
2025-05-17 19:00:00,39032.3390319655,39042.633,39128.49286500391,39068.389656376174
2025-05-17 20:00:00,39339.2117612679,39045.53,39129.96099063595,39070.85939094079
2025-05-17 21:00:00,38995.1496907557,39049.44,39128.494197997716,39073.157634399315
2025-05-17 22:00:00,38988.0527799303,39053.055,39129.95965885243,39076.12656953073
2025-05-17 23:00:00,39031.3617312957,39053.508,39128.49552857203,39076.003736696606
2025-05-18 00:00:00,39170.1173993332,39049.63,39129.95832948622,39073.72773322086
2025-05-18 01:00:00,39061.7769187596,39043.14,39128.49685673123,39068.746322644365
2025-05-18 02:00:00,39114.3190666469,39038.57,39129.95700253293,39065.98514763488
2025-05-18 03:00:00,39330.4640318945,39039.055,39128.498182479714,39065.887345368916
2025-05-18 04:00:00,38924.4815774037,39035.11,39129.955677988175,39063.562875271455
2025-05-18 05:00:00,39115.3145648795,39038.543,39128.49950582184,39065.53032049655
2025-05-18 06:00:00,39029.5022233185,39040.94,39129.954355847585,39067.644509879276
2025-05-18 07:00:00,39058.7910759562,39035.727,39128.500826761985,39063.558060528594
2025-05-18 08:00:00,39052.74840321,39035.375,39129.953036106795,39063.74762958204
2025-05-18 09:00:00,38951.860989727,39039.19,39128.502145304505,39065.98423734135
2025-05-18 10:00:00,39042.8930358967,39038.145,39129.951718761455,39065.68668750343
2025-05-18 11:00:00,39183.6294504001,39041.92,39128.50346145376,39067.896741561126
2025-05-18 12:00:00,39140.4273403661,39037.52,39129.95040380721,39065.24879301716
2025-05-18 13:00:00,39194.8080523893,39039.117,39128.50477521409,39065.93229193923
2025-05-18 14:00:00,38991.1011491159,39042.523,39129.94909123973,39068.75035237192
2025-05-18 15:00:00,39117.6137409558,39038.758,39128.50608658983,39065.682685351945
2025-05-18 16:00:00,39091.3940349041,39034.098,39129.94778105467,39062.851521816396
2025-05-18 17:00:00,38991.6736927123,39034.34,39128.50739558529,39062.589328050584
2025-05-18 18:00:00,39254.3607281587,39043.492,39129.946473247706,39069.42730134931
2025-05-18 19:00:00,39164.658310778,39041.207,39128.508702204825,39067.39636066145
2025-05-18 20:00:00,38999.5355114632,39044.34,39129.945167814534,39070.02065971936
2025-05-18 21:00:00,39051.7487439493,39047.277,39128.51000645273,39071.64675193582
2025-05-18 22:00:00,39132.2137344296,39053.45,39129.943864750836,39076.39722192525
2025-05-18 23:00:00,39059.8257710735,39054.434,39128.511308333305,39076.65690812499
2025-05-19 00:00:00,39045.7105235032,39048.637,39129.94256405231,39073.02769109069
2025-05-19 01:00:00,39180.636533849,39042.836,39128.51260785085,39068.53815735525
2025-05-19 02:00:00,38934.7617995561,39035.645,39129.94126571467,39063.9335515894
2025-05-19 03:00:00,39085.6345756004,39034.324,39128.513905009655,39062.581515252896
2025-05-19 04:00:00,39039.6571985251,39029.664,39129.93996973362,39059.74566279509
2025-05-19 05:00:00,39183.8780440889,39031.535,39128.515199814006,39060.6287786942
2025-05-19 06:00:00,39111.9289721066,39035.55,39129.938676104895,39063.86636845647
2025-05-19 07:00:00,39006.4982568726,39031.98,39128.51649226817,39060.94166643045
2025-05-19 08:00:00,39073.2083170759,39031.82,39129.937384824225,39061.25465294727
2025-05-19 09:00:00,39018.4897711814,39038.297,39128.517782376424,39065.361975337924
2025-05-19 10:00:00,39158.2717845397,39041.11,39129.93609588734,39067.7562193912
2025-05-19 11:00:00,39048.7054789581,39049.43,39128.51907014301,39073.1553304179
2025-05-19 12:00:00,39030.1386664364,39047.832,39129.93480928998,39072.462864662
2025-05-19 13:00:00,39115.301013798,39055.23,39128.52035557219,39077.216262921655
2025-05-19 14:00:00,39089.5127508798,39053.13,39129.93352502792,39076.16951063338
2025-05-19 15:00:00,39112.3249216704,39049.242,39128.5216386682,39073.02524160046
2025-05-19 16:00:00,39156.3560055925,39044.895,39129.932243096904,39070.40545417907
2025-05-19 17:00:00,39147.3579348985,39038.023,39128.52291943528,39065.17211020558
2025-05-19 18:00:00,39041.7654111518,39047.777,39129.930963492705,39072.42264842281
2025-05-19 19:00:00,38948.283615169,39043.01,39128.524197877654,39068.6646812383
